record,task,channel,templateHp,replicate,highpass,condition,timeSec,reference,noisyBeforeHighpass,recovered
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.32421875,15.1282066972558,10.7185005350564,13.5306138343046
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.328125,15.0262636452326,10.7388329284379,13.5471724757656
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.33203125,15.0254651117909,10.9052422876537,13.749249645296
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.3359375,15.1348231720639,11.207581222251,14.1169639156933
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.33984375,15.3484891077766,11.6150393111753,14.6064313066675
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.34375,15.6440267133953,12.0882251891659,15.159174871952
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.34765625,15.9845022983537,12.5837096055549,15.7093939644443
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.3515625,16.3243903547522,13.0531530220543,16.1933129200014
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.35546875,16.6180575806746,13.4583109410224,16.566896890096
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.359375,16.8286501326387,13.7796590351393,16.8154639263716
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.36328125,16.9349736404689,14.0114998986611,16.9525507320385
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.3671875,16.9345781167216,14.1592115210842,17.0069182191021
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.37109375,16.8425176869879,14.2449046420834,17.0119041545688
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.375,16.6866024425724,14.2948939418147,16.99680251895
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.37890625,16.50079277791,14.3319495235893,16.9865053482777
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.3828125,16.3183895963674,14.3633466990016,16.9965817997754
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.38671875,16.1660229030385,14.3914388767411,17.0199581856936
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.390625,16.0587001939899,14.4065794231507,17.0454785666925
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.39453125,15.9959195501499,14.3921087718834,17.0672453732991
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.3984375,15.9592595227712,14.3295397540554,17.0739845904938
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.40234375,15.9125601282199,14.2009003740911,17.0494235529816
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.40625,15.8061131391483,13.9875199727704,16.9799369271765
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.41015625,15.585626689873,13.6730625018498,16.8527300323479
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.4140625,15.2050958831025,13.2573064675332,16.653992986321
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.41796875,14.6407045022349,12.7561622653749,16.3701880299283
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.421875,13.9014752485222,12.1872886489204,15.9917061161401
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.42578125,13.0324363871251,11.5608504178143,15.513236138687
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.4296875,12.1078792656739,10.8857633104111,14.9418466591728
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.43359375,11.2153777552772,10.1804266194231,14.2818045640871
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.4375,10.4345369686231,9.47689256311776,13.5424266048385
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.44140625,9.81664680408356,8.83178272221184,12.7748676649194
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.4453125,9.37158412944151,8.30358896628632,12.0491813358821
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.44921875,9.06623436407877,7.91019930573537,11.3955600615229
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.453125,8.83505493359643,7.61207240766746,10.829186435907
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.45703125,8.5994759075854,7.32814452053122,10.3287513524501
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.4609375,8.29005162298168,6.97554763715302,9.83013987898203
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.46484375,7.86462980970117,6.49084170041192,9.26231769403439
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.46875,7.31745424692181,5.84186392722413,8.58345272266085
VisualCogA_Task-2,2,F3,0.5,1,0.1,Delta,0.47265625,6.67735319284977,5.03341660329965,7.79733424552816
